"IDOferty","CenaPLN","KM","Marka","Model","LiczbaDrzwi","PojemnoscSkokowa","PrzebiegKm","RodzajPaliwa","RokProdukcji","Kolor","KrajPochodzenia","PojazdUszkodzony","SkrzyniaBiegow"
191,23500,70,"Skoda","Fabia","4/5",1422,126000,"olej napędowy (diesel)",2008,"niebieski","Polska","Nie","manualna"
192,35500,150,"Toyota","Avensis","4/5",2231,198500,"olej napędowy (diesel)",2006,"czarny-metallic","Niemcy","Nie","manualna"
193,34600,140,"Volkswagen","Passat","4/5",1968,175000,"olej napędowy (diesel)",2005,"czarny-metallic","Niemcy","Nie","automatyczna"
194,45600,102,"Volkswagen","Caddy","4/5",1600,15800,"benzyna",2009,"grafitowy-metallic","Niemcy","Nie","manualna"
196,52900,140,"Volkswagen","Passat","4/5",1968,168460,"olej napędowy (diesel)",2009,"srebrny-metallic","Niemcy","Nie","automatyczna"
197,48900,140,"Volkswagen","Passat","4/5",1968,174870,"olej napędowy (diesel)",2008,"szary-metallic","Niemcy","Nie","manualna"
198,26900,115,"Ford","Focus C-Max","4/5",1800,114500,"olej napędowy (diesel)",2005,"grafitowy","Francja","Nie","manualna"
199,163000,173,"BMW","X5","4/5",2993,148000,"olej napędowy (diesel)",2007,"czarny-metallic","Polska","Nie","automatyczna"
200,19500,100,"Ford","Focus","4/5",1600,70000,"benzyna",2008,"grafitowy","Polska","Nie","manualna"
201,19900,110,"Toyota","Corolla","4/5",1598,200000,"benzyna",2003,"grafitowy-metallic","Polska","Nie","manualna"
202,11600,70,"Peugeot","206","2/3",1400,150068,"olej napędowy (diesel)",2003,"niebieski-metallic","Francja","Nie","manualna"
203,39900,125,"Ford","Mondeo","4/5",1800,150000,"olej napędowy (diesel)",2007,"srebrny-metallic","Polska","Nie","manualna"
204,36900,177,"Toyota","Avensis","4/5",2231,228000,"olej napędowy (diesel)",2005,"grafitowy-metallic","Niemcy","Nie","manualna"
206,30999,250,"Mercedes-Benz","S 400","4/5",3996,150000,"olej napędowy (diesel)",2002,"srebrny","Niemcy","Nie","automatyczna"
207,55000,130,"Renault","Espace","4/5",1995,118000,"olej napędowy (diesel)",2008,"grafitowy-metallic","Francja","Nie","manualna"
208,11200,107,"Renault","Megane","4/5",1600,145283,"benzyna+LPG",2002,"srebrny-metallic","Polska","Nie","manualna"
209,43800,90,"Ford","Focus","4/5",1560,21348,"olej napędowy (diesel)",2010,"szary-metallic","Polska","Nie","manualna"
210,75000,81,"Volkswagen","Passat","4/5",1968,15200,"olej napędowy (diesel)",2010,"srebrny-metallic","Niemcy","Nie","manualna"
211,144999,186,"Mercedes-Benz","C 200","4/5",1798,15000,"benzyna",2011,"czarny-metallic","Polska","Nie","automatyczna"
212,74000,170,"BMW","520","4/5",1995,62400,"benzyna",2008,"czarny","Polska","Nie","manualna"
213,36900,120,"Ford","Fiesta","2/3",1600,39797,"benzyna",2009,"czarny-metallic","Polska","Nie","manualna"
215,16900,115,"Ford","Focus","4/5",1988,45000,"benzyna",2004,"szary-metallic","Niemcy","Nie","manualna"
216,34900,90,"Ford","Focus","4/5",1560,53000,"olej napędowy (diesel)",2008,"srebrny-metallic","Polska","Nie","manualna"
217,25800,105,"Opel","Astra","4/5",1600,121000,"benzyna",2006,"niebieski-metallic","Niemcy","Nie","manualna"
218,76900,198,"Audi","A4","4/5",1968,74150,"olej napędowy (diesel)",2007,"srebrny-metallic","Polska","Nie","manualna"
219,219000,286,"BMW","5GT (F07)","4/5",2993,64000,"olej napędowy (diesel)",2010,"czarny-metallic","Niemcy","Nie","automatyczna"
221,28400,150,"Opel","Vectra","4/5",1910,146337,"olej napędowy (diesel)",2006,"srebrny-metallic","Niemcy","Nie","manualna"
222,27900,136,"Peugeot","407","4/5",1997,136000,"olej napędowy (diesel)",2006,"czarny-metallic","Francja","Nie","manualna"
223,37900,205,"Peugeot","607","4/5",2700,166000,"olej napędowy (diesel)",2005,"grafitowy-metallic","Francja","Nie","automatyczna"
225,44999,90,"Toyota","Auris","4/5",1364,33100,"olej napędowy (diesel)",2008,"czarny-metallic","Polska","Nie","automatyczna"
226,28999,192,"BMW","525","4/5",2500,177000,"benzyna",2003,"czarny-metallic","Niemcy","Nie","automatyczna"
227,125000,233,"Audi","A6","4/5",2967,48500,"olej napędowy (diesel)",2007,"granatowy-metallic","Polska","Nie","manualna"
